MAGSUS,UG,Free,Lib>80%,Mid>50%,Sub-Mid>20%,Locked
in,BX,34.04,8.09,4.54,2.63,1.67
out,VLCL_TOP,39.76,9.13,5.03,3.37,1.98
in,VLCL_TOP,28.35,9.25,5.24,3.32,2.07
out,VLCL_TOP,21.99,4.8,5.32,3.64,2.69
in,VLCL_TOP,43.12,7.48,3.51,2.16,1.53
in,VLCL_BOTOM,36.7,5.52,3.46,2.29,1.61
in,VLCL_BOTOM,46.02,6.32,3.18,2.16,1.5
in,VLCL_BOTOM,14,4.45,2.91,2.95,2.59
in,VLCL_TOP,26.98,8.78,5.98,3.18,2.11
in,VLCL_BOTOM,12.14,3.79,2.75,1.91,1.76
in,VLCL_BOTOM,16.61,6.12,3.21,2.19,2.35
in,VLCL_BOTOM,24.84,6.4,3.54,2.43,2.11
in,VLCL_BOTOM,24.59,5.6,4.19,2.38,2.42
out,VLCL_BOTOM,19.3,7.08,3.84,1.95,1.8
out,ANDE_LOWER,6.19,1.55,2.88,4.02,3.3
in,VLCL_TOP,48.16,8,5.34,2.62,1.32
in,VLCL_TOP,31.98,8.93,5.22,3.62,1.91
in,VLCL_TOP,35.6,5.15,3.21,1.61,1.33
in,VLCL_TOP,35.85,5.06,3.59,3.05,1.99
out,ANDE_UPPER,4.19,0.4,1.18,1.94,3.83
out,VLCL_TOP,46.46,6.23,4.51,2.72,1.18
in,VLCL_TOP,34.39,5.9,3.5,3.14,2.25
in,VLCL_TOP,21.69,5.72,3.62,3.37,2.55
in,ANLT,44.03,7.24,2.86,1.63,1.02
in,VLCL_BOTOM,38.8,3.14,2.28,1.34,1.36
in,VLCL_BOTOM,49.83,5.05,2.92,1.92,1.31
in,VLCL_BOTOM,46.7,4.99,2.99,2.16,1.6
out,ANLT,2.93,0.34,0.8,0.79,1.63
in,VLCL_BOTOM,38.41,6.3,3.41,2.99,2.21
in,VLCL_BOTOM,25.06,4.44,2.31,1.75,1.39
out,VLCL_BOTOM,25.1,4.96,2.84,2.05,1.91
out,VLCL_BOTOM,44.74,3.49,4.27,2.44,1.37
in,VLCL_TOP,67.67,2.09,1.01,0.89,0.47
in,VLCL_BOTOM,35.53,3.1,2.79,1.73,1.61
in,VLCL_TOP,53.95,2.78,1.94,1.03,0.73
out,VLCL_BOTOM,18.52,6.69,8.8,5.6,2.55
,VLCL_BOTOM,21.61,5.26,2.66,2.68,2.4
,ANDE_UPPER,2,0.51,0.54,0.99,1.93
,VLCL_BOTOM,9.78,4.14,2.4,1.8,2.33
