iter	RMSE
0	8.820993449
1	8.637835846
2	8.457672581
3	8.288337105
4	8.128624824
5	7.962687492
6	7.808960854
7	7.650539742
8	7.513861619
9	7.37924407
10	7.246085837
11	7.117300934
12	7.007555403
13	6.906671673
14	6.800832374
15	6.695380536
16	6.592767341
17	6.495880653
18	6.400339601
19	6.311282034
20	6.217312707
21	6.132264418
22	6.061177783
23	5.983560553
24	5.908842672
25	5.840047594
26	5.782452715
27	5.709017363
28	5.631547395
29	5.56103484
30	5.508066216
31	5.445868884
32	5.386490122
33	5.341796513
34	5.282928189
35	5.239643376
36	5.192930372
37	5.139104941
38	5.090500338
39	5.041268368
40	4.9942703
41	4.94141663
42	4.891918933
43	4.855030003
44	4.815075102
45	4.779524506
46	4.736915631
47	4.689035213
48	4.653517149
49	4.614594043
50	4.58467982
51	4.551060922
52	4.501260188
53	4.471864953
54	4.435151942
55	4.40383399
56	4.375508564
57	4.349127183
58	4.316820283
59	4.282108803
60	4.2531201
61	4.225267763
62	4.191734734
63	4.167045973
64	4.133819287
65	4.108707294
66	4.090671216
67	4.07083478
68	4.052014263
69	4.029847436
70	4.009354986
71	3.992443003
72	3.968513217
73	3.950241236
74	3.93218811
75	3.905603724
76	3.883553256
77	3.8746234
78	3.852803083
79	3.831692511
80	3.807459734
81	3.788460421
82	3.767245265
83	3.752723296
84	3.734654627
85	3.720653211
86	3.701347646
87	3.679056082
88	3.662790495
89	3.652979243
90	3.639814046
91	3.623492552
92	3.609527495
93	3.599650999
94	3.587851087
95	3.569717002
96	3.553929519
97	3.541992533
98	3.52080292
99	3.50473723
100	3.489838358
101	3.482518637
102	3.473349689
103	3.459703234
104	3.44092052
105	3.430340648
106	3.422974798
107	3.412184036
108	3.400940163
109	3.393033543
110	3.377365405
111	3.367206905
112	3.351267896
113	3.339471911
114	3.331397808
115	3.323489087
116	3.314458125
117	3.299324847
118	3.2891508
119	3.274461704
120	3.262490699
121	3.252518738
122	3.244784584
123	3.23968765
124	3.228524714
125	3.222463813
126	3.213331795
127	3.199353012
128	3.190119381
129	3.180241257
130	3.166283286
131	3.158055657
132	3.154518313
133	3.147309572
134	3.142233951
135	3.132350968
136	3.126073792
137	3.118025383
138	3.110879184
139	3.101212221
140	3.092751328
141	3.081765645
142	3.07213022
143	3.061551463
144	3.050677208
145	3.040974874
146	3.032568732
147	3.022135173
148	3.014397921
149	3.003948326
150	2.997685761
151	2.990070159
152	2.98524983
153	2.980871451
154	2.973095619
155	2.961692692
156	2.956280882
157	2.950810471
158	2.942055785
159	2.929541684
160	2.922745314
161	2.915443208
162	2.906579744
163	2.899255731
164	2.89418981
165	2.881461761
166	2.874121053
167	2.861348339
168	2.853702843
169	2.844758726
170	2.840730064
171	2.83206093
172	2.82163367
173	2.816669435
174	2.807733784
175	2.801370077
176	2.792123594
177	2.785623868
178	2.775418301
179	2.7641272
180	2.753461642
181	2.74676089
182	2.739079189
183	2.727604184
184	2.717582715
185	2.708355242
186	2.702177691
187	2.697598184
188	2.687369571
189	2.678731738
190	2.670240278
191	2.666912473
192	2.661808363
193	2.657501669
194	2.651094469
195	2.642933898
196	2.631584051
197	2.62842728
198	2.62096052
199	2.615493218
200	2.603977793
201	2.601500813
202	2.599203303
203	2.590464735
204	2.588249198
205	2.583993094
206	2.576488909
207	2.567524437
208	2.561450975
209	2.555199516
210	2.545863367
211	2.539720256
212	2.534352024
213	2.530781924
214	2.521518967
215	2.512852216
216	2.509774454
217	2.49904983
218	2.488334156
219	2.482725139
220	2.47300483
221	2.464943824
222	2.457125706
223	2.45011512
224	2.443668319
225	2.438041852
226	2.432491841
227	2.418670404
228	2.409851509
229	2.402211422
230	2.396763582
231	2.389688433
232	2.384810102
233	2.379735198
234	2.377003275
235	2.371671272
236	2.367352728
237	2.357228733
238	2.348529084
239	2.343150771
240	2.336187778
241	2.331081613
242	2.323283496
243	2.31975084
244	2.316411535
245	2.308349051
246	2.30286125
247	2.298291079
248	2.289778442
249	2.284567571
250	2.277571981
251	2.269973687
252	2.264313447
253	2.258065139
254	2.255080378
255	2.247589898
256	2.239897908
257	2.235754122
258	2.231203932
259	2.222394878
260	2.216630592
261	2.210406309
262	2.206853433
263	2.199871255
264	2.190541164
265	2.182661015
266	2.177207579
267	2.16732514
268	2.1621198
269	2.154531192
270	2.147454497
271	2.142359284
272	2.137198969
273	2.13341555
274	2.128794024
275	2.122405597
276	2.116937734
277	2.108873282
278	2.101308738
279	2.096132983
280	2.088732931
281	2.080499463
282	2.074881669
283	2.06820314
284	2.064687128
285	2.058481409
286	2.051106285
287	2.045997943
288	2.040551106
289	2.034271433
290	2.027174592
291	2.02077078
292	2.018239524
293	2.01499337
294	2.010386866
295	2.003165823
296	1.998442334
297	1.992412939
298	1.985029857
299	1.981317032
300	1.975382669
301	1.969758109
302	1.965084934
303	1.960715086
304	1.955542515
305	1.951639332
306	1.948359583
307	1.940866432
308	1.934844673
