,holeid,mid_x,mid_y,mid_z,from,to,Length,MAGSUS_MOD,MINDOM_MOD,UG_MOD,DTT_Mass_Recovery,Fe_pct_DTT,Magnetite_pct,MS_Actual,Lith,Litho_2,Ag_ppm,Al_pct,As_ppm,Au_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_pct,Cd_ppm,Co_ppm,Cr_ppm,Cu_pct,Fe_pct,Ga_ppm,K_pct,La_ppm,Mg_pct,Mn_ppm,Mo_ppm,Na_pct,Ni_ppm,P_ppm,Pb_ppm,S_pct,Sb_ppm,Sc_ppm,Si_pct,SiO2_pct,Sr_ppm,Th_ppm,Ti_pct,Tl_ppm,U_ppm,V_ppm,W_ppm,Zn_ppm,Cu_Sulf_Mode,FeOx_1_Mode_1,FeOx_1_Mode_2,FeOx_1_Type,FeOx_2_Mode_1,FeOx_2_Mode_2,FeOx_2_Type,Py_Min_Mode_1,Py_Min_Mode_2,Ac,Alb,Cb,Ch,Cp,Cu_Sulfide_pct,Ep,FeOx_1_pct,FeOx_2_pct,He_s,He_t,Hem,Kspar,Lm,Mt,Py,Qz,Sr
1695,4a3-12-447DD,399900.3106,7072687.396,1004.295805,204.0,205.12,1.12,in,Sulfides,VLCL_TOP,50.6,49.86,33.69,57374.87888,MAGT,MANTO,0.7,1.83,5.0,0.081,180.0,1.0,2.0,0.49,0.5,70.0,14,0.419,50.2,20.0,1.16,10.0,0.83,1150,1.0,0.06,14.0,240,2.0,0.97,5.0,5.0,6.0,12.84,10.0,20.0,0.1,10.0,10.0,39.0,20.0,34,502.0,902.0,904.0,a,302.0,,e,504.0,502.0,2.0,1.0,0.0,2.0,0.1,0.4,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,2.0,0.0,0.0
1696,4a3-12-447DD,399900.3496,7072687.347,1003.297762,205.12,206.0,0.88,in,Sulfides,VLCL_TOP,50.6,49.86,33.69,57374.87888,ANTF2,ANDT,0.7,1.83,5.0,0.081,180.0,1.0,2.0,0.49,0.5,70.0,14,0.419,50.2,20.0,1.16,10.0,0.83,1150,1.0,0.06,14.0,240,2.0,0.97,5.0,5.0,6.0,12.84,10.0,20.0,0.1,10.0,10.0,39.0,20.0,34,502.0,802.0,804.0,a,802.0,502.0,e,502.0,302.0,2.0,2.0,1.0,1.0,0.5,0.5,2.0,30.0,5.0,5.0,0.0,0.0,0.0,0.0,30.0,0.6,0.0,0.0
1697,4a3-12-447DD,399900.7862,7072686.807,992.1744501,216.0,217.41,1.41,in,Sulfides,ANLT,24.4,26.75,12.76,17481.75938,FLBX,FAULT,0.7,4.51,19.0,0.035,220.0,0.9,2.0,2.86,0.5,123.0,23,0.305,29.3,20.0,2.17,10.0,1.42,1610,1.0,0.65,23.0,630,2.0,1.68,6.0,18.0,14.7,31.458,34.0,20.0,0.44,10.0,10.0,129.0,10.0,79,502.0,502.0,,a,502.0,302.0,e,504.0,502.0,1.0,2.0,0.0,1.0,0.4,0.4,1.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,10.0,1.5,0.0,0.0
1698,4a3-12-447DD,399900.8251,7072686.76,991.1763197,217.41,218.0,0.59,in,Sulfides,ANLT,24.4,26.75,12.76,17481.75938,ANLT,ANDT,0.7,4.51,19.0,0.035,220.0,0.9,2.0,2.86,0.5,123.0,23,0.305,29.3,20.0,2.17,10.0,1.42,1610,1.0,0.65,23.0,630,2.0,1.68,6.0,18.0,14.7,31.458,34.0,20.0,0.44,10.0,10.0,129.0,10.0,79,502.0,302.0,502.0,a,220.0,502.0,e,502.0,302.0,1.0,2.0,1.0,2.0,0.3,0.3,0.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,0.0
1699,4a3-12-447DD,399900.9222,7072686.643,988.6809273,220.0,220.41,0.41,in,Sulfides,ANLT,20.0,21.28,9.27,55816.50963,WDTF,ANDT,1.0,1.83,13.0,0.095,100.0,1.3,2.0,1.02,0.5,221.0,11,0.593,48.5,20.0,0.68,10.0,0.93,1120,1.0,0.06,5.0,370,2.0,2.28,16.0,4.0,6.9,14.766,7.0,20.0,0.08,40.0,10.0,42.0,10.0,31,,502.0,,a,220.0,502.0,e,502.0,302.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,2.0,0.0,2.0,0.1,0.0,0.0
1700,4a3-12-447DD,399900.9418,7072686.62,988.17685,220.41,221.01,0.6,in,Sulfides,ANLT,20.0,21.28,9.27,55816.50963,ANTF2,ANDT,1.0,1.83,13.0,0.095,100.0,1.3,2.0,1.02,0.5,221.0,11,0.593,48.5,20.0,0.68,10.0,0.93,1120,1.0,0.06,5.0,370,2.0,2.28,16.0,4.0,6.9,14.766,7.0,20.0,0.08,40.0,10.0,42.0,10.0,31,,802.0,804.0,a,302.0,,e,504.0,502.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,35.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0
1701,4a3-12-447DD,399900.9718,7072686.584,987.4032659,221.01,221.96,0.95,in,Sulfides,ANLT,20.0,21.28,9.27,55816.50963,MAGT,MANTO,1.0,1.83,13.0,0.095,100.0,1.3,2.0,1.02,0.5,221.0,11,0.593,48.5,20.0,0.68,10.0,0.93,1120,1.0,0.06,5.0,370,2.0,2.28,16.0,4.0,6.9,14.766,7.0,20.0,0.08,40.0,10.0,42.0,10.0,31,502.0,902.0,904.0,a,,,,504.0,502.0,2.0,2.0,0.0,1.0,0.2,0.2,1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,4.0,0.0,0.0
1702,4a3-12-447DD,399900.991,7072686.561,986.9091703,221.96,222.0,0.04,in,Sulfides,ANLT,20.0,21.28,9.27,55816.50963,ANLT,ANDT,1.0,1.83,13.0,0.095,100.0,1.3,2.0,1.02,0.5,221.0,11,0.593,48.5,20.0,0.68,10.0,0.93,1120,1.0,0.06,5.0,370,2.0,2.28,16.0,4.0,6.9,14.766,7.0,20.0,0.08,40.0,10.0,42.0,10.0,31,220.0,302.0,,a,302.0,,e,504.0,502.0,2.0,2.0,1.0,1.0,0.2,0.2,0.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0
1703,4a3-12-451DD,399986.4821,7072849.729,1029.356547,106.0,106.24,0.24,in,Sulfides,VLCL_TOP,13.6,26.3,8.12,7094.696308,WDTF,ANDT,2.5,3.71,34.0,0.331,300.0,0.7,2.0,1.28,0.5,635.0,7,2.71,26.4,20.0,1.17,10.0,0.6,1605,32.0,0.75,1.0,390,2.0,3.87,14.0,5.0,17.3,37.022,35.0,20.0,0.13,10.0,10.0,29.0,10.0,76,,502.0,,e,,,,,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,2.0,6.0,0.0,0.0,2.0,0.0
1704,4a3-12-451DD,399986.4911,7072849.725,1028.856638,106.24,107.0,0.76,in,Sulfides,VLCL_TOP,13.6,26.3,8.12,7094.696308,ANTF2,ANDT,2.5,3.71,34.0,0.331,300.0,0.7,2.0,1.28,0.5,635.0,7,2.71,26.4,20.0,1.17,10.0,0.6,1605,32.0,0.75,1.0,390,2.0,3.87,14.0,5.0,17.3,37.022,35.0,20.0,0.13,10.0,10.0,29.0,10.0,76,502.0,802.0,804.0,e,,,,502.0,,0.0,2.0,2.0,0.0,0.0,0.5,0.0,30.0,0.0,30.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0
1705,4a3-12-451DD,399986.5019,7072849.721,1028.251749,107.0,107.45,0.45,in,Sulfides,VLCL_TOP,13.6,26.3,8.12,7094.696308,WDTF,ANDT,2.5,3.71,34.0,0.331,300.0,0.7,2.0,1.28,0.5,635.0,7,2.71,26.4,20.0,1.17,10.0,0.6,1605,32.0,0.75,1.0,390,2.0,3.87,14.0,5.0,17.3,37.022,35.0,20.0,0.13,10.0,10.0,29.0,10.0,76,,502.0,,e,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,2.0,10.0,0.0,0.0,2.0,0.0
1706,4a3-12-451DD,399986.5109,7072849.718,1027.751841,107.45,108.0,0.55,in,Sulfides,VLCL_TOP,13.6,26.3,8.12,7094.696308,FEOX,MANTO,2.5,3.71,34.0,0.331,300.0,0.7,2.0,1.28,0.5,635.0,7,2.71,26.4,20.0,1.17,10.0,0.6,1605,32.0,0.75,1.0,390,2.0,3.87,14.0,5.0,17.3,37.022,35.0,20.0,0.13,10.0,10.0,29.0,10.0,76,502.0,902.0,904.0,d,,,,502.0,,0.0,2.0,1.0,0.0,3.0,3.3,0.0,65.0,0.0,40.0,0.0,0.0,1.0,0.0,25.0,1.0,2.0,0.0
1707,4a3-12-451DD,399986.5678,7072849.698,1024.607415,110.0,111.74,1.74,out,Sulfides,ANLT,41.9,46.36,26.59,15374.44299,FEOX,MANTO,0.5,1.51,49.0,0.063,50.0,1.2,2.0,1.42,0.5,855.0,10,0.415,47.3,30.0,0.2,10.0,0.32,1760,92.0,0.07,1.0,380,2.0,6.42,6.0,5.0,7.3,15.622,12.0,20.0,0.09,10.0,10.0,42.0,10.0,34,502.0,902.0,904.0,d,,,,502.0,,1.0,2.0,0.0,0.0,0.1,0.3,0.0,70.0,0.0,40.0,0.0,2.0,0.0,0.1,30.0,2.0,2.0,0.0
1708,4a3-12-451DD,399986.5862,7072849.693,1023.607601,111.74,112.0,0.26,out,Sulfides,ANLT,41.9,46.36,26.59,15374.44299,ANTF2,ANDT,0.5,1.51,49.0,0.063,50.0,1.2,2.0,1.42,0.5,855.0,10,0.415,47.3,30.0,0.2,10.0,0.32,1760,92.0,0.07,1.0,380,2.0,6.42,6.0,5.0,7.3,15.622,12.0,20.0,0.09,10.0,10.0,42.0,10.0,34,,502.0,504.0,e,,,,502.0,504.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,4.0,2.0,0.0
1709,4a3-12-454DD,400050.755,7072716.646,1092.213692,68.0,69.69,1.69,out,Sulfides,ANDE_UPPER,11.6,12.8,2.64,2681.132548,ANAP2,ANDE,0.5,6.27,10.0,,70.0,1.4,2.0,1.94,0.5,69.0,18,0.0609,12.6,30.0,0.5,10.0,3.31,2420,8.0,2.13,6.0,1770,2.0,0.34,5.0,32.0,22.8,48.792,42.0,20.0,1.27,10.0,10.0,316.0,10.0,159,,220.0,502.0,b,100.0,400.0,f,502.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.5,2.0,0.5,2.0,1.0,0.0,1.0,3.0,0.1,1.0,0.0
1710,4a3-12-454DD,400050.7504,7072716.634,1091.213783,69.69,70.0,0.31,out,Sulfides,ANDE_UPPER,11.6,12.8,2.64,2681.132548,ANAP2,ANDE,0.5,6.27,10.0,,70.0,1.4,2.0,1.94,0.5,69.0,18,0.0609,12.6,30.0,0.5,10.0,3.31,2420,8.0,2.13,6.0,1770,2.0,0.34,5.0,32.0,22.8,48.792,42.0,20.0,1.27,10.0,10.0,316.0,10.0,159,502.0,220.0,302.0,b,100.0,400.0,g,502.0,220.0,0.0,1.0,2.0,2.0,0.1,0.1,0.0,4.0,2.0,1.0,1.0,1.0,0.0,2.0,3.0,1.5,1.0,0.0
1711,4a3-12-454DD,400050.6715,7072716.433,1076.925422,84.0,84.27,0.27,out,Sulfides,ANDE_UPPER,11.7,11.73,2.68,2744.83803,CBBX,FAULT,0.5,6.69,44.0,,280.0,1.5,2.0,5.17,0.5,64.0,10,0.0811,11.95,20.0,1.75,10.0,1.48,2430,5.0,1.21,13.0,2090,18.0,0.25,5.0,28.0,21.1,45.154,54.0,20.0,1.36,10.0,10.0,279.0,10.0,70,502.0,502.0,220.0,d,400.0,,f,,,0.0,0.0,3.0,0.0,0.0,0.2,0.0,5.5,3.0,5.0,3.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0
1712,4a3-12-454DD,400050.6666,7072716.417,1075.995562,84.27,85.86,1.59,out,Sulfides,ANDE_UPPER,11.7,11.73,2.68,2744.83803,ANAP2,ANDE,0.5,6.69,44.0,,280.0,1.5,2.0,5.17,0.5,64.0,10,0.0811,11.95,20.0,1.75,10.0,1.48,2430,5.0,1.21,13.0,2090,18.0,0.25,5.0,28.0,21.1,45.154,54.0,20.0,1.36,10.0,10.0,279.0,10.0,70,502.0,302.0,,a,400.0,,f,,,0.0,2.0,2.0,1.0,0.1,0.1,0.0,4.0,5.0,0.0,5.0,0.0,1.0,4.0,4.0,0.0,1.0,0.0
1713,4a3-12-454DD,400050.6621,7072716.403,1075.130697,85.86,86.0,0.14,out,Sulfides,ANDE_UPPER,11.7,11.73,2.68,2744.83803,CBBX,FAULT,0.5,6.69,44.0,,280.0,1.5,2.0,5.17,0.5,64.0,10,0.0811,11.95,20.0,1.75,10.0,1.48,2430,5.0,1.21,13.0,2090,18.0,0.25,5.0,28.0,21.1,45.154,54.0,20.0,1.36,10.0,10.0,279.0,10.0,70,,400.0,,f,,,,,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0
1714,4a3-12-454DD,400050.647,7072716.348,1072.061214,88.0,90.0,2.0,out,Sulfides,ANDE_UPPER,16.0,11.72,2.93,3187.01748,ANAP2,ANDE,0.5,5.21,42.0,0.073,220.0,1.3,2.0,6.77,0.5,91.0,10,0.465,12.0,20.0,1.17,10.0,2.25,2530,4.0,1.42,10.0,1620,17.0,0.87,5.0,25.0,19.4,41.516,58.0,20.0,1.09,10.0,10.0,218.0,10.0,109,502.0,502.0,302.0,b,100.0,,g,502.0,,0.0,1.0,1.0,2.0,1.4,1.5,0.0,18.0,1.0,5.0,0.0,0.0,1.0,1.0,13.0,2.0,1.0,0.0
1715,4a3-12-454DD,400050.3849,7072715.174,998.1561942,162.0,163.83,1.83,out,Sulfides,ANLT,18.3,32.15,10.74,12235.575,ANTF2,ANDT,0.5,2.59,9.0,0.086,130.0,0.7,5.0,5.37,0.5,192.0,25,0.728,34.3,10.0,0.87,10.0,1.56,2030,40.0,0.18,16.0,710,47.0,2.34,5.0,12.0,8.2,17.548,19.0,20.0,0.22,20.0,10.0,58.0,10.0,29,502.0,902.0,502.0,a,902.0,502.0,e,,,0.0,2.0,1.0,1.0,1.0,1.0,0.0,15.0,10.0,10.0,0.0,0.0,2.0,0.0,15.0,2.0,0.0,0.0
1716,4a3-12-454DD,400050.3826,7072715.158,997.1563156,163.83,164.0,0.17,out,Sulfides,ANLT,18.3,32.15,10.74,12235.575,ANLT,ANDT,0.5,2.59,9.0,0.086,130.0,0.7,5.0,5.37,0.5,192.0,25,0.728,34.3,10.0,0.87,10.0,1.56,2030,40.0,0.18,16.0,710,47.0,2.34,5.0,12.0,8.2,17.548,19.0,20.0,0.22,20.0,10.0,58.0,10.0,29,502.0,502.0,302.0,e,502.0,,a,502.0,,1.0,2.0,1.0,2.0,0.2,0.2,0.0,10.0,0.5,10.0,0.0,0.0,1.0,0.0,0.5,2.5,0.0,0.0
