,mid_x,mid_y,mid_z,DTT_Fe_Conc_Grade,DTT_Mass_Recovery,Fe_pct_DTT,Magnetite_pct,MS_Actual,Ag_ppm,Al_pct,As_ppm,Au_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_pct,Cd_ppm,Co_ppm,Cr_ppm,Cu_pct,Fe_pct,Ga_ppm,K_pct,La_ppm,Mg_pct,Mn_ppm,Mo_ppm,Na_pct,Ni_ppm,P_ppm,Pb_ppm,S_pct,Sb_ppm,Sc_ppm,Si_pct,SiO2_pct,Sr_ppm,Th_ppm,Ti_pct,Tl_ppm,U_ppm,V_ppm,W_ppm,Zn_ppm,Ac,Alb,Cb,Ch,Cp,Cu_Sulfide_pct,Ep,FeOx_1_pct,FeOx_2_pct,He_s,He_t,Hem,Kspar,Lm,Mt,Py,Qz,Sr
mid_x,1.0,0.6248807606989871,0.18565695418632397,-0.17782128130331287,-0.097421983651368,-0.15301051893983675,-0.10633404813211964,-0.1379401480740994,0.18128970667552916,0.27316990497730137,-0.021181134136293623,-0.119071217312638,-0.07605873773161977,0.21891728750754116,-0.011119863384716482,-0.06585918950526888,0.14049419867413124,-0.15397227462885013,-0.11040136890762196,-0.12996780806251498,-0.1945454738710163,0.04719730510580502,0.008225929676227326,0.013401852738215626,0.09565124519119617,0.0804408314737382,0.10991183520183569,0.28230957947377605,-0.050358373401632975,0.28313147765773067,0.020548322520883632,-0.1399024736608338,-0.020708471455357872,0.2568435699092136,0.19473407319502395,0.1947340731950237,0.12503687985495962,0.2519733657014967,0.2598455763595068,0.18723281164913108,-0.012582453040154937,0.3350097671397547,0.10194664803871091,0.058775917534312785,-0.023993754514388614,-0.13278168728221787,-0.3378645059365288,-0.08585234222104568,-0.21574777180418026,-0.20999320909659133,0.04435212304774142,-0.0967248959347436,0.02641080834005984,-0.0722852087666116,0.10367893803255694,0.14810855075952478,-0.04506952532055476,0.18776758267058805,-0.06443744871175264,-0.06776308995461856,-0.06531534396897061,0.11848563907648166
mid_y,0.6248807606989871,1.0,-0.3402705649729964,0.04983407598477087,-2.5137547196168565e-06,-0.12733217753398282,0.015323508000973856,-0.01791515144938598,0.17055124125899082,0.23709926091143654,-0.026944534568634566,-0.2362499120001069,-0.056190844503211684,0.14365242174265674,0.016861378957508676,-0.2121257474545353,0.06296153286624592,-0.03582672683609182,-0.029808257012932427,-0.2792890833778048,-0.1406735736631954,0.08232530967663616,0.02471569216762329,0.32459570384118414,0.165903444287595,0.062179580270301744,0.057895834992548155,0.2665405617581411,0.10868746449631321,0.2588708172085436,0.04460075659854492,-0.06401166363950538,-0.1451845524620669,0.25063720714139265,0.3231255107580586,0.32312551075805906,0.2117958657471345,-0.5390962307562651,0.1272305507296423,-0.2560049751885951,-0.2590459840940828,0.21792046489179082,0.05323964245789617,0.23064620924694418,0.09209350477903801,-0.3201158634464239,-0.3917858801424206,0.07143375193882015,-0.22206035726864712,-0.22316051389506267,0.1580612175099174,-0.0675703840599162,-0.04635930836023492,-0.11225742725420655,0.08967369938318259,0.08079500805889568,-0.11066701885706286,0.099310899209195,0.0036206280437365056,0.057082510315179906,-0.07093432123033666,0.2088132299496192
mid_z,0.18565695418632397,-0.3402705649729964,1.0,-0.12482015491358166,-0.176574215416807,0.12166560897907043,-0.17071339672958583,-0.21532594910024033,0.09699171244790897,-0.09812336563653781,-0.05895831089322646,0.3488003080172243,0.08477337115339174,-0.22561275814253964,0.04129022902389797,-0.03164028130553603,0.13135149966430168,0.08394540469931565,-0.16281040411116846,0.3512395555634068,0.09959967228291985,-0.0990373088689158,0.08594113862541149,-0.35373060141459417,-0.24723917529440254,0.028616817418954648,0.13685571797898285,-0.1541062460926637,-0.29584867635461115,-0.09703246455930199,-0.10430630823978437,0.112948832923435,0.2359980321227097,-0.18480529369793638,-0.19942797504318005,-0.1994279750431799,0.023671490131395655,0.7903141659069037,-0.04990963027477927,0.42595510367355083,0.2660739206823828,-0.2242133461609252,0.2875990290513331,-0.03581539654335408,-0.23801955949636436,0.2400865018971775,0.027299357597315915,-0.3473822246640233,0.14024175485973267,0.1470226940404503,-0.06839922116509786,0.059373822441822634,0.14554131811624307,0.2401282182151496,0.06930845619485583,0.13197205592083067,0.09083947941657533,0.1283330597118027,-0.11093647521084603,-0.014292643616203731,0.029184775584201093,0.003624291177107486
DTT_Fe_Conc_Grade,-0.17782128130331287,0.04983407598477087,-0.12482015491358166,1.0,0.3049905654538251,0.4990258239551878,0.40421399765993765,0.34889664227520367,0.12391174736923466,-0.4606164980620156,0.03421051811888748,0.17208506194289258,-0.055453560707376656,-0.21693710966351099,0.14608819126474698,-0.12673254347149993,0.0498909286649022,0.21107203841824965,-0.10082177070702947,0.09086945817618107,0.4897368774949476,0.035851038382472805,-0.06112239787826662,0.06447763462027287,-0.23067472461674726,-0.08806059735857914,0.04541235332209158,-0.5062132203105197,0.03391177049870207,-0.5211448570335012,0.05592278530383299,0.2536034908019919,0.06608328973486988,-0.5150255589857519,-0.393075245122677,-0.3930752451226765,-0.16608634208226042,-0.024625824030022683,-0.6411495548823286,0.04096544336135059,0.05079798729478916,-0.5279864438644457,0.11161417670584006,-0.02134417375617697,0.1400529898887524,-0.036171608631951006,0.009796712787378706,0.0028183270670353684,0.1043029482086837,0.10383574268852694,0.1233859504688872,0.25131565098734626,0.05783309519832787,0.0723446882658958,0.005344832078363204,-0.05402593765798857,-0.03326395618644253,-0.00688518107678995,0.23826108979720467,0.21179419891405588,-0.026769429454090745,0.026992725018592602
DTT_Mass_Recovery,-0.097421983651368,-2.5137547196168565e-06,-0.176574215416807,0.3049905654538251,1.0,0.6301639671483367,0.9872358503272137,0.9347751313285736,0.09738492315555468,-0.4982028107389737,0.03513660504531359,0.05889177823273992,-0.35423302589626027,0.4255566891555335,0.20567570232757898,-0.16125811762227674,0.12968631257363059,0.008907510283878107,-0.09146726891777632,-0.026564527475148394,0.6209657363153532,0.2600815571598165,-0.4630570752959386,0.014012519027681818,-0.27755671379700075,-0.3411426921235711,-0.0008053948330643221,-0.1661677991457676,0.16552629080889628,-0.18451395008292906,0.044563624718423726,-0.005333544839819772,0.14643681014054294,-0.2526402845060712,-0.45017690027559315,-0.450176900275593,-0.38959634168509466,-0.04420562831157783,-0.21515945879222825,0.14595592631273493,0.015024626287853983,-6.47809239204398e-05,-0.10198944500429652,-0.12120621517476095,0.27228237052348403,-0.13034949473851162,0.09248963809817164,0.07107743320915808,0.05565928597934609,0.05180915965576113,-0.09380916578365188,0.30848332210227414,-0.0643683439407706,-0.24273790577638427,-0.05916346628560659,-0.055860919925252064,-0.0741543220545823,-0.07134500326786011,0.5397124313477766,0.0865195359813136,-0.08530187934389102,-0.14725840420353528
Fe_pct_DTT,-0.15301051893983675,-0.12733217753398282,0.12166560897907043,0.4990258239551878,0.6301639671483367,1.0,0.6842095096323998,0.6206146162502821,0.2252749020872926,-0.8554512748713367,-0.007382605857542578,0.3862021955602037,-0.33080513215704066,-0.062495089551964624,0.3013431509011368,-0.36716767363978,0.09594598644959662,0.316790251465458,-0.2239375763459875,0.34127369645528055,0.9526094214459252,-0.0035647253464933994,-0.36734980919398574,-0.13153158503243523,-0.608178174132264,-0.48715750596934837,0.11353218871325552,-0.6030725908601242,-0.06600944271260431,-0.5014240867582601,-0.025620546948824964,0.32614604621260285,0.14207783646320396,-0.73403569749935,-0.8473349125968221,-0.8473349125968204,-0.5121815960344714,0.11798768202022888,-0.6307025256134535,0.2194350147387887,0.1592440462717081,-0.5368915812553701,0.2651638872365588,-0.19272020334739912,0.031202825666696146,0.12770746795395288,0.11902238109993085,-0.21817737872868723,0.23934460862793513,0.23803224522570504,-0.10487805802777807,0.4773811225080721,0.10081588014310752,0.28352098749075894,0.012035399962372968,0.03911655555563492,-0.06321723111080324,-0.01733342311924833,0.3309113746006645,0.22039509284385483,0.016181036987804945,-0.09981752510904454
Magnetite_pct,-0.10633404813211964,0.015323508000973856,-0.17071339672958583,0.40421399765993765,0.9872358503272137,0.6842095096323998,1.0,0.9363510367810969,0.09115732840390109,-0.5269909976603717,0.08977712159726142,0.09796304605708817,-0.3233286253099154,0.41031349908035,0.17558887333299542,-0.1493045924727715,0.10855232908103644,0.021038284241628784,-0.05722528978975385,-0.005716224939279245,0.6423987374198283,0.24980753212548798,-0.42679585507390955,0.03366968538194574,-0.27599714980464884,-0.3059266942548953,0.05539500782280288,-0.20824303938791788,0.1693995654765916,-0.22670771813544788,0.1016480437614919,0.029679368605537722,0.06444808537374772,-0.3073745753146807,-0.4962960080439354,-0.4962960080439358,-0.3863140665295649,-0.06510189078428073,-0.30237785148393537,0.14467105357383195,0.024385622037104388,-0.06893935471655993,-0.11854143251116711,-0.09610299022169329,0.2609673786012399,-0.10187151091669705,0.12264442152392305,0.06922211781753909,0.03623658551824363,0.03150264643067761,-0.08764222575186735,0.2825218584818441,-0.036124706604479244,-0.2107692139986067,-0.04864798659565384,-0.05279842604827687,-0.06584559200015754,-0.06382265377298202,0.4992228591114588,0.10922139196693781,-0.12356211023789491,-0.190946587566943
MS_Actual,-0.1379401480740994,-0.01791515144938598,-0.21532594910024033,0.34889664227520367,0.9347751313285736,0.6206146162502821,0.9363510367810969,1.0,0.09006960723360713,-0.523254510492168,0.04308962272844725,0.07458993222017461,-0.3389670692752959,0.3860525050920397,0.1974257188568014,-0.18607790281664552,0.13099449511298447,0.04113728914004704,-0.07532709240807606,-0.0023415623025469486,0.6540589053569368,0.264154968263589,-0.4311341696898524,0.04744458116009919,-0.26950137083255127,-0.3353157541690626,-0.007294835716106408,-0.23456371345807547,0.18589962301044666,-0.24837492079219275,0.05930387395705744,0.05521316933526802,0.1413080767607523,-0.3296692291435407,-0.4945210475322042,-0.49452104753220544,-0.3958580259144635,-0.1035846527759785,-0.27537632316648253,0.15035327643099322,0.007957036380930873,-0.06011744172649436,-0.10383865435845475,-0.12846807076768435,0.28767551209384423,-0.12346236688066681,0.11314943129448554,0.10337354596417271,0.08910774917396254,0.08649982392126696,-0.050985230140591815,0.31716683452177763,-0.0824388504055685,-0.22652244007047748,-0.0838864038917121,-0.10162802656904305,-0.08052991130830638,-0.11136537935531533,0.5340993916045508,0.13327257935599415,-0.09035203527453209,-0.14729849255137836
Ag_ppm,0.18128970667552916,0.17055124125899082,0.09699171244790897,0.12391174736923466,0.09738492315555468,0.2252749020872926,0.09115732840390109,0.09006960723360713,1.0,-0.1900311981012681,0.02333954466470785,0.32817536613458503,-0.1024758270293807,-0.02745780598296379,0.1651548052080208,-0.13027967467997018,0.12087740084200602,0.10513936464620796,-0.1297373545902495,0.33818258953088853,0.2235444321442343,0.05633230563500141,-0.1078076882002298,-0.14402152795486875,-0.16344567652570344,-0.17354693615630637,0.07250378419977195,-0.11427008693950125,-0.003421237569406307,-0.056064635644781625,0.10128441421769696,0.1651914049468709,0.11534154882363315,-0.2096784252703202,-0.2608974668347654,-0.26089746683476567,-0.019469975366504504,0.26731555955056174,-0.14214717020133405,0.10158508362107985,0.046978136694149124,-0.07188421076326658,0.15621915553588878,0.06262803505971666,-0.04777322327545975,-0.023905213764494452,-0.05524931739210032,-0.13656687253648686,0.17187877768063012,0.16212290244854347,0.09269200597959792,0.14083299912719582,0.019006165270584182,0.07553810205937206,0.0329486280078055,0.02245178072062364,-0.08273682521784087,0.046168220600953706,0.09216304644949576,0.093000730769607,-0.11169624350568831,0.10765609285248395
Al_pct,0.27316990497730137,0.23709926091143654,-0.09812336563653781,-0.4606164980620156,-0.4982028107389737,-0.8554512748713367,-0.5269909976603717,-0.523254510492168,-0.1900311981012681,1.0,-0.05716515979333664,-0.38961920762143454,0.3758560357333002,0.13521980492436297,-0.2640960884875252,0.15597530155258038,-0.08430969790096049,-0.3558821532148829,0.2427497823237393,-0.3325217765490932,-0.8894240828130888,0.1211450668113905,0.4762769949515361,0.13828337604290206,0.6638657898857634,0.44220696453093156,-0.12390826878575255,0.7345304916872163,0.06376355053631352,0.5632046720374128,-0.019514761316204218,-0.38760578965362114,-0.19912528920800188,0.867662111925714,0.8466705452822733,0.8466705452822745,0.5358817259114363,-0.07483899082419133,0.7507455912691203,-0.19324573501245834,-0.1395908555899738,0.6662199846963917,-0.2270566479241032,0.24988988063043818,0.0153743726063217,-0.16284086979437243,-0.16854733562510107,0.2399181668791529,-0.24610354957825673,-0.24108839857774866,0.09076113169234973,-0.46283063221837173,-0.10904344543852548,-0.2901147342950134,-0.0034807045901005004,-0.026600074937191666,0.060205041856376956,0.040085115214161256,-0.3084452245982336,-0.23564693307485962,-0.09648227487451076,0.0977849580793386
