,mid_x,mid_y,mid_z,DTT_Mass_Recovery,MS_Actual,Al_pct,As_ppm,Au_ppm,Be_ppm,Ca_pct,Cr_ppm,Cu_pct,Fe_pct,K_pct,Mg_pct,Mn_ppm,Na_pct,P_ppm,Pb_ppm,S_pct,Si_pct,SiO2_pct,Sr_ppm,Ti_pct,V_ppm,W_ppm,Ac,Cb,Ch,Cp,Cu_Sulfide_pct,Ep,FeOx_1_pct,He_s,Kspar,Lm,Mt,Py,CuOx,Mixture,Sulfides,ANDE_LOWER,ANDE_UPPER,ANLT,ANLT_ANDE,BX,VLCL_BOTTOM,VLCL_TOP,Fe1_M1_100,Fe1_M1_200,Fe1_M1_220,Fe1_M1_221,Fe1_M1_222,Fe1_M1_302,Fe1_M1_304,Fe1_M1_306,Fe1_M1_400,Fe1_M1_502,Fe1_M1_504,Fe1_M1_506,Fe1_M1_508,Fe1_M1_602,Fe1_M1_604,Fe1_M1_606,Fe1_M1_802,Fe1_M1_804,Fe1_M1_806,Fe1_M1_808,Fe1_M1_902,Fe1_M1_904,Fe1_M1_906,Fe1_M1_908,in,out,DTT_Fe_Conc_Grade
245,0.717564614,1.339175394,-0.177472484,-0.640866873,-0.481836529,1.168737242,0.003792668,-0.405509173,-0.27843233,0.142857143,0.032540676,0.456901517,-1.539220384,1.714285714,0.495812395,0.705376344,0.7072302,0.071428571,0.005838198,-0.1484375,0,-4.24E-16,3.749125024,0.533333333,0.54862531,0.140401146,0.333333333,0,0.333333333,-0.125,-0.125,0,-0.181818182,1.8,0.333333333,0,-0.394736842,-0.283185841,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,66.7
246,0.717564614,1.339175394,-0.184382241,-0.640866873,-0.481836529,1.168737242,0.003792668,-0.405509173,-0.27843233,0.142857143,0.032540676,0.456901517,-1.539220384,1.714285714,0.495812395,0.705376344,0.7072302,0.071428571,0.005838198,-0.1484375,0,-4.24E-16,3.749125024,0.533333333,0.54862531,0.140401146,0.333333333,0,0.333333333,-0.25,-0.25,0.333333333,-0.545454545,-0.2,0.666666667,0,-0.394736842,-0.318584071,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,66.7
247,0.421575367,1.681908734,-0.956409293,0.166150671,0.14599578,-0.890444316,0.029077118,0,-1,-0.82010582,0.02252816,-0.281819927,-0.205438573,-0.649350649,-0.556113903,-0.790537634,-0.022072022,0.285714286,0.04587156,0.890625,0,-4.24E-16,-1,-0.366666667,-1.305032258,0.283667622,0.333333333,0,0.666666667,-0.25,-0.25,0,-0.090909091,0.3,0,0,0.263157895,1.415929204,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,62.9
248,0.533707004,1.151331581,0.319589576,-0.079463364,0.126043482,-1.262725728,0.044247788,0.380205112,-2.44313534,-1.354497354,0.023779725,0.303321175,1.478888458,-0.662337662,-0.576214405,-1.030537634,-1.116025353,0.785714286,0.052543786,1.6796875,0,-4.24E-16,-2.430459344,-0.466666667,-1.750848635,0.426934097,0,0,0.333333333,-0.25,-0.25,0,0.818181818,5.8,0,0,0,3.185840708,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,63.69
249,0.537648602,1.152344446,0.304318751,0.24251806,0.260893496,-0.256402537,0.067003793,0.023062255,-0.27843233,-0.71957672,0.031289111,0.637358418,0.384503382,-0.428571429,0.64321608,0.47311828,-1.116025353,0.261904762,0.032527106,1.12109375,0,-4.24E-16,-1.057218374,-0.166666667,-0.577647643,0.140401146,0,0.333333333,0.666666667,-0.25,-0.25,0.333333333,-0.272727273,1.3,0,0,-0.394736842,0.707964602,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66.25
250,0.538331763,1.152520147,0.301672161,0.24251806,0.260893496,-0.256402537,0.067003793,0.023062255,-0.27843233,-0.71957672,0.031289111,0.637358418,0.384503382,-0.428571429,0.64321608,0.47311828,-1.116025353,0.261904762,0.032527106,1.12109375,0,-4.24E-16,-1.057218374,-0.166666667,-0.577647643,0.140401146,0,0.333333333,0.666666667,-0.25,-0.25,0.333333333,-0.545454545,-0.2,0,0,-0.394736842,-0.318584071,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,66.25
251,0.545477155,1.154354673,0.273988828,-0.37131063,-0.266214109,-0.041177346,0.041719343,0.689728922,-0.27843233,-0.788359788,0.038798498,1.000191975,-0.128489622,0.74025974,0.502512563,0.765591398,-1.132600404,1.023809524,0.022518766,0.4921875,0,-4.24E-16,0.716551213,-0.266666667,-1,0.283667622,0,0,0.333333333,0.125,0.125,0.333333333,-0.272727273,0.8,0,0,-0.263157895,0.707964602,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65
252,0.546160316,1.154530374,0.271342238,-0.37131063,-0.266214109,-0.041177346,0.041719343,0.689728922,-0.27843233,-0.788359788,0.038798498,1.000191975,-0.128489622,0.74025974,0.502512563,0.765591398,-1.132600404,1.023809524,0.022518766,0.4921875,0,-4.24E-16,0.716551213,-0.266666667,-1,0.283667622,0,0,0.333333333,1.625,1.625,0,0.363636364,4.8,0,0,-0.394736842,1.061946903,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,65
253,0.551365515,1.155867511,0.251175221,0.297007224,0.365333456,-0.791557066,0.064475348,1.451633684,1.886270679,-0.931216931,0.01126408,1.276636591,0.666649534,-0.207792208,0.227805695,-0.094623656,-1.314925959,-0.095238095,0.029190992,1.27734375,0,-4.24E-16,-1,-0.466666667,-1.633528536,0.140401146,0,0,0.333333333,1.625,1.625,0,0.363636364,4.8,0,0,-0.394736842,1.061946903,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,67.5
254,0.552048675,1.156043212,0.248528631,0.297007224,0.365333456,-0.791557066,0.064475348,1.451633684,1.886270679,-0.931216931,0.01126408,1.276636591,0.666649534,-0.207792208,0.227805695,-0.094623656,-1.314925959,-0.095238095,0.029190992,1.27734375,0,-4.24E-16,-1,-0.466666667,-1.633528536,0.140401146,0,0,0.666666667,0.125,0.125,0,-0.545454545,-0.2,0,0,-0.394736842,-0.17699115,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,67.5
