,mid_x,mid_y,mid_z,MAGSUS_MOD,MINDOM_MOD,UG_MOD,DTT_Mass_Recovery,Fe_pct_DTT,Magnetite_pct,MS_Actual,Ag_ppm,Al_pct,As_ppm,Au_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_pct,Cd_ppm,Co_ppm,Cr_ppm,Cu_pct,Fe_pct,K_pct,Mg_pct,Mn_ppm,Mo_ppm,Na_pct,Ni_ppm,P_ppm,Pb_ppm,S_pct,Sb_ppm,Si_pct,SiO2_pct,Sr_ppm,Ti_pct,V_ppm,W_ppm,Zn_ppm,Cu_Sulf_Mode,FeOx_1_Mode_1,FeOx_1_Type,Py_Min_Mode_1,Ac,Alb,Cb,Ch,Cp,Cu_Sulfide_pct,Ep,FeOx_1_pct,FeOx_2_pct,He_s,He_t,Hem,Kspar,Lm,Mt,Py,Qz,Sr
1023,399535.8422,7072751.253,841.1673763,out,Sulfides,VLCL_BOTTOM,2.3,10.36,1.27,616.0,0.971269035532995,4.76,100.0,0.06503138528138527,211.6751269035533,0.8385871404399322,5.992868020304568,6.13,0.697766497461929,50.0,100,0.024,11.35,0.7,4.53,3500,13.399720812182741,0.8733164128595601,50.0,1300,100.0,0.23,7.942571912013536,20.3,43.442,47.47690355329949,0.62,104.61844331641286,11.346446700507615,200,Cu_M_504,Fe1_M1_804,Fe1_T_a,Py_M1_504,1.0,2.0,1.0,2.0,0.5,0.5,0.0,20.0,0.5,0.5,0.0,0.0,1.0,0.0,20.0,3.0,2.0,0.0
1024,399535.595,7072751.151,840.2037048,out,Sulfides,VLCL_BOTTOM,2.3,10.36,1.27,616.0,0.971269035532995,4.76,100.0,0.06503138528138527,211.6751269035533,0.8385871404399322,5.992868020304568,6.13,0.697766497461929,50.0,100,0.024,11.35,0.7,4.53,3500,13.399720812182741,0.8733164128595601,50.0,1300,100.0,0.23,7.942571912013536,20.3,43.442,47.47690355329949,0.62,104.61844331641286,11.346446700507615,200,Cu_M_221,Fe1_M1_302,Fe1_T_a,Py_M1_221,1.0,0.0,1.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0
1025,399502.4585,7072568.435,906.6488407,out,Sulfides,VLCL_BOTTOM,11.38,18.39,14.050012522848988,8355.0,0.971269035532995,3.61,100.0,0.065,211.6751269035533,0.8385871404399322,5.992868020304568,5.6,0.697766497461929,80.0,100,0.37,18.4,0.9,7.23,3400,13.399720812182741,0.8733164128595601,50.0,900,100.0,1.48,7.942571912013536,18.95,40.553,47.47690355329949,0.28,104.61844331641286,11.346446700507615,200,Cu_M_504,Fe1_M1_504,Fe1_T_a,Py_M1_504,0.0,1.0,1.0,2.0,1.0,1.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0
1026,399502.4731,7072568.453,902.6489061,out,Sulfides,VLCL_BOTTOM,25.42,33.58,14.050012522848988,28583.0,0.971269035532995,2.73,100.0,0.174,211.6751269035533,0.8385871404399322,5.992868020304568,3.29,0.697766497461929,200.0,100,1.22,33.5,1.1,1.99,1900,13.399720812182741,0.8733164128595601,50.0,800,100.0,2.94,7.942571912013536,13.85,29.639,47.47690355329949,0.17,104.61844331641286,11.346446700507615,100,Cu_M_504,Fe1_M1_804,Fe1_T_a,Py_M1_504,1.0,0.0,2.0,1.0,8.0,8.0,0.0,40.0,20.0,20.0,0.0,0.0,0.0,0.0,40.0,8.0,0.0,1.0
1027,399747.0331,7073010.535,886.5019647,in,Sulfides,VLCL_TOP,29.2,30.85,19.21,30395.0,0.971269035532995,3.09,100.0,0.06503138528138527,211.6751269035533,0.8385871404399322,5.992868020304568,2.65,0.697766497461929,370.0,100,0.059,32.9,0.7,1.59,1800,13.399720812182741,0.8733164128595601,50.0,400,100.0,3.2,7.942571912013536,14.95,31.993,47.47690355329949,0.17,104.61844331641286,11.346446700507615,100,Cu_M_504,Fe1_M1_904,Fe1_T_a,Py_M1_504,0.0,0.0,1.0,2.0,2.0,2.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,2.0,0.0,0.0
1028,399747.7789,7073010.592,878.5370445,in,Sulfides,VLCL_TOP,65.6,47.5,41.68,85580.0,0.971269035532995,1.12,100.0,0.124,211.6751269035533,0.8385871404399322,5.992868020304568,1.26,0.697766497461929,350.0,100,0.888,48.3,0.3,0.45,1400,13.399720812182741,0.8733164128595601,50.0,400,100.0,2.11,7.942571912013536,9.78,20.9292,47.47690355329949,0.05,104.61844331641286,11.346446700507615,100,Cu_M_504,Fe1_M1_904,Fe1_T_a,Py_M1_504,0.0,0.0,1.0,2.0,2.0,2.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.7,0.0,0.0
1029,399748.7625,7073010.569,868.5855987,in,Sulfides,VLCL_TOP,29.1,27.34,19.1,22273.0,0.971269035532995,3.89,100.0,0.06503138528138527,211.6751269035533,0.8385871404399322,5.992868020304568,2.2,0.697766497461929,490.0,100,0.01,28.7,0.6,1.22,1200,13.399720812182741,0.8733164128595601,50.0,600,100.0,4.35,7.942571912013536,17.45,37.343,47.47690355329949,0.19,104.61844331641286,11.346446700507615,100,Cu_M_504,Fe1_M1_804,Fe1_T_a,Py_M1_504,0.0,1.0,1.0,2.0,0.7,0.7,0.0,35.0,0.5,0.5,0.0,0.0,1.0,0.0,35.0,0.5,0.0,0.0
1030,399749.7945,7073010.484,858.6393848,in,Sulfides,VLCL_TOP,20.3,23.98,13.45,17495.0,0.971269035532995,2.8,100.0,0.06503138528138527,211.6751269035533,0.8385871404399322,5.992868020304568,2.9,0.697766497461929,330.0,100,0.009,26.6,0.5,1.16,1200,13.399720812182741,0.8733164128595601,50.0,1200,100.0,3.31,7.942571912013536,20.7,44.298,47.47690355329949,0.18,104.61844331641286,11.346446700507615,100,Cu_M_504,Fe1_M1_504,Fe1_T_a,Py_M1_504,0.0,1.0,1.0,2.0,0.5,0.5,1.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,0.5,0.0,0.0
1031,399749.9546,7073010.467,857.1480421,in,Sulfides,VLCL_TOP,44.7,37.38,29.52,42610.0,0.971269035532995,1.39,100.0,0.06503138528138527,211.6751269035533,0.8385871404399322,5.992868020304568,2.45,0.697766497461929,640.0,100,0.034,40.4,0.3,0.61,1000,13.399720812182741,0.8733164128595601,50.0,700,100.0,5.5,7.942571912013536,14.05,30.067,47.47690355329949,0.09,104.61844331641286,11.346446700507615,100,Cu_M_504,Fe1_M1_804,Fe1_T_a,Py_M1_504,0.0,1.0,1.0,2.0,1.0,1.0,0.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,0.5,0.0,0.0
1032,399750.062,7073010.455,856.153904,in,Sulfides,VLCL_TOP,44.7,37.38,29.52,42610.0,0.971269035532995,1.39,100.0,0.06503138528138527,211.6751269035533,0.8385871404399322,5.992868020304568,2.45,0.697766497461929,640.0,100,0.034,40.4,0.3,0.61,1000,13.399720812182741,0.8733164128595601,50.0,700,100.0,5.5,7.942571912013536,14.05,30.067,47.47690355329949,0.09,104.61844331641286,11.346446700507615,100,Cu_M_504,Fe1_M1_904,Fe1_T_a,Py_M1_504,0.0,0.0,1.0,2.0,0.7,0.7,0.0,50.0,0.1,0.1,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0
