,mid_x,mid_y,mid_z,DTT_Fe_Conc_Grade,MAGSUS_MOD,DTT_Mass_Recovery,MS_Actual,Al_pct,Ca_pct,Fe_pct,K_pct,Mg_pct,Na_pct,P_ppm,S_pct,Si_pct,Ti_pct,Py
574,400012.5323,7073369.72,810.7832547,50.38,in,35.3,26358,5.33,4.13,23.3,0.49,1.98,2.94,1550,0.14,13.86349522,1.05,0.1
575,400012.2409,7073369.99,800.7911539,48.86,in,32.2,23103,6.45,3.04,21.4,0.52,2.35,3.64,1670,0.1,13.86349522,1,0.2
576,400012.0078,7073370.206,792.7974733,52.04,in,32.6,24403,5.64,2.74,23.8,0.51,2.34,2.87,1100,0.27,13.86349522,0.68,0.1
577,400011.7164,7073370.476,782.8053725,51.13,in,39.6,30355,5.7,2.53,26.2,0.64,2.05,3.01,1330,0.13,13.86349522,0.89,0.1
578,400011.425,7073370.746,772.8132717,24.51,out,20.6,7456,8.54,3.15,10.2,0.91,2.69,4.58,1420,0.08,13.86349522,0.93,0.1
596,400066.89,7073493.21,821.35,65.9,in,19.2,13393,8.1,3.46,16.45,0.19,3.24,3.93,780,0.41,13.86349522,0.49,0.1
597,400066.89,7073493.21,815.35,48.21,in,25.9,16668,7.64,3.23,15.9,0.36,2.75,4.3,1630,0.08,13.86349522,1.26,0.1
611,399967.51,7073228.61,833.09,54.74,in,28.85,19753,5.47,4.1,22,0.89,3.09,1.04,1610,0.17,13.86349522,0.88,0.2
612,399967.51,7073228.61,823.09,60.93,in,31.7,20750,4.72,2.44,27.6,1.35,2.36,0.82,910,0.35,13.86349522,0.62,0.3
613,399967.51,7073228.61,821.09,65.29,in,46.9,42728,3.91,2.4,32.9,0.78,1.97,0.86,890,0.33,13.86349522,0.59,0.8
614,399967.51,7073228.61,813.09,63.77,in,46.1,45805,3.26,2.87,32.4,0.64,2.51,0.24,740,0.53,13.86349522,0.48,0.3
