,mid_x,mid_y,mid_z,DTT_Fe_Conc_Grade,MAGSUS_MOD,UG_MOD,DTT_Mass_Recovery,Fe_pct_DTT,MS_Actual,Al_pct,Ca_pct,Fe_pct,K_pct,Mg_pct,Na_pct,P_ppm,S_pct,Si_pct,Ti_pct,Py
35,399681.15,7072878.43,808.28,65.05,out,VLCL_BOTTOM,16.95,25.71,12360,4.6,5.24,24.4,1.11,1.76,0.66,700,4.57,13.86349522,0.3,3
36,399464.06,7072884.34,923.51,39.62,in,VLCL_TOP,12.4,13.57,6251,6.64,3.4,12,1.55,5.4,0.99,1180,0.41,13.86349522,0.61,0.1
37,399464.06,7072884.34,879.51,65.43,in,VLCL_TOP,32.05,28.96681689,19280,1.66,4.07,39.5,0.16,0.59,0.04,580,6.76,13.86349522,0.09,4
38,399464.06,7072884.34,877.51,65.43,in,VLCL_TOP,24.85,28.96681689,12453,1.48,3.19,36.3,0.07,0.32,0.02,520,1.94,13.86349522,0.08,1.5
39,399464.06,7072884.34,875.51,66.02,in,VLCL_TOP,37.3,28.96681689,24620,1.5,4.29,37.2,0.03,0.32,0.02,470,3.4,13.86349522,0.08,5
40,399464.06,7072884.34,873.51,66.76,in,VLCL_TOP,29.95,28.96681689,21593,2.62,5.39,33.4,0.13,1.42,0.03,550,2.23,13.86349522,0.13,0.5
41,399464.06,7072884.34,871.51,69.78,in,VLCL_TOP,69.45,28.96681689,65895,1.03,1.35,53.9,0.08,0.78,0.03,430,3.75,13.86349522,0.05,0.5
42,399464.06,7072884.34,869.51,70.15,in,VLCL_TOP,84.1,28.96681689,57823,0.52,0.88,61.4,0.05,0.35,0.04,320,2.3,13.86349522,0.03,5
43,399464.06,7072884.34,867.51,69.85,in,VLCL_TOP,67.35,28.96681689,72843,0.43,0.93,56.7,0.04,0.26,0.03,290,9.46,13.86349522,0.05,5
44,399464.06,7072884.34,865.51,69.71,in,VLCL_TOP,79.05,28.96681689,87445,0.38,0.72,60.3,0.04,0.2,0.04,170,4.84,13.86349522,0.03,2
45,399464.06,7072884.34,863.51,70,in,VLCL_TOP,79.75,28.96681689,79450,0.66,0.63,62.7,0.05,0.51,0.04,190,3.83,13.86349522,0.04,10
46,399464.06,7072884.34,861.51,70.07,in,VLCL_TOP,83.15,28.96681689,83775,0.66,0.74,62,0.07,0.45,0.04,180,2.55,13.86349522,0.05,2
47,399464.06,7072884.34,859.51,69.85,in,VLCL_TOP,66.35,28.96681689,60798,1.6,1.54,54.4,0.25,0.81,0.05,120,1.02,13.86349522,0.08,0.3
48,399464.06,7072884.34,855.51,69.48,in,ANLT,20.7,28.96681689,12458,5.52,4.53,22.5,1.62,4.15,0.66,870,1.68,13.86349522,0.7,0.8
49,399464.06,7072884.34,853.51,66.76,in,ANLT,10.55,28.96681689,13830,4.94,4.45,27.1,1.34,3.44,0.49,720,2.52,13.86349522,0.34,0.5
50,399464.06,7072884.34,851.51,68.53,in,ANLT,20.3,28.96681689,14800,5.17,3.38,24.4,1.82,3.69,0.66,630,3.34,13.86349522,0.54,0.2
51,399464.06,7072884.34,849.51,69.56,in,VLCL_BOTTOM,74.05,28.96681689,85380,0.94,1.26,55.6,0.14,0.58,0.07,360,2.83,13.86349522,0.06,1
52,399464.06,7072884.34,847.51,62.48,in,VLCL_BOTTOM,8.65,28.96681689,6226,5.71,4.27,13.3,2.18,5.47,0.27,620,0.51,13.86349522,0.31,0.3
53,399464.06,7072884.34,843.51,69.56,in,VLCL_BOTTOM,73,28.96681689,69395,0.6,1.07,57.7,0.07,0.39,0.05,210,6.31,13.86349522,0.04,0.5
54,399464.06,7072884.34,841.51,68.38,in,VLCL_BOTTOM,40.9,28.96681689,39038,2.59,4.13,38.6,0.72,1.52,0.1,650,3.73,13.86349522,0.15,0.8
55,399464.06,7072884.34,839.51,68.53,in,VLCL_BOTTOM,61.7,28.96681689,64053,1.58,2.19,50.5,0.71,0.58,0.08,540,3.52,13.86349522,0.1,5
56,399464.06,7072884.34,837.51,68.53,in,VLCL_BOTTOM,68.45,28.96681689,74925,1.24,1.71,54.3,0.35,0.49,0.1,610,4.23,13.86349522,0.08,3
57,399464.06,7072884.34,836.26,70.15,in,VLCL_BOTTOM,50,28.96681689,46298,2.27,1.9,44.7,0.41,1.84,0.06,500,0.84,13.86349522,0.11,3
58,399464.06,7072884.34,835.26,70.15,in,VLCL_BOTTOM,50,28.96681689,46298,2.27,1.9,44.7,0.41,1.84,0.06,500,0.84,13.86349522,0.11,0.1
59,399464.06,7072884.34,831.51,70.3,in,VLCL_BOTTOM,42.45,28.96681689,48628,2.26,3.16,40.9,0.97,1.2,0.05,520,2.71,13.86349522,0.11,4
60,399464.06,7072884.34,829.51,69.41,in,VLCL_BOTTOM,30,28.96681689,26793,2.63,3.94,35.4,0.9,1.22,0.08,460,2.36,13.86349522,0.15,3
61,399464.06,7072884.34,827.51,68.53,in,VLCL_BOTTOM,23.95,28.96681689,20735,3.46,4.01,31.5,1.21,1.96,0.18,720,2.6,13.86349522,0.19,0.5
62,399464.06,7072884.34,825.51,66.61,in,VLCL_BOTTOM,16.25,28.96681689,13528,4.21,4.37,25.1,1.96,2.35,0.26,590,2.98,13.86349522,0.32,0.3
63,399464.06,7072884.34,823.51,68.23,in,VLCL_BOTTOM,9.5,28.96681689,9350,4.81,4.95,19.6,1.68,2.42,0.66,770,1.07,13.86349522,0.3,0.2
64,399464.06,7072884.34,819.51,68.67,in,VLCL_BOTTOM,56.55,28.96681689,57000,2.11,3.04,46,0.86,0.69,0.08,360,4.98,13.86349522,0.12,15
65,399464.06,7072884.34,793.51,69.3,in,VLCL_BOTTOM,53.13,28.96681689,49928,2.06,2.54,45,0.8,0.96,0.1,330,3.33,13.86349522,0.13,1
66,399464.06,7072884.34,771.51,70,in,VLCL_BOTTOM,78.82,28.96681689,89085,1.26,0.99,58.4,0.05,0.81,0.04,300,1.14,13.86349522,0.06,2
67,399809.5415,7072497.304,1087.079745,66.1,out,VLCL_TOP,9.71,28.96681689,10023,4.03,4.2,28.7,0.99,1.72,0.08,410,1.59,13.86349522,0.17,5
70,399808.5917,7072497.526,1008.365798,64.2,out,VLCL_BOTTOM,25.28,28.96681689,18765,3.02,1.86,41,0.86,0.89,0.73,420,3.78,13.86349522,0.21,0.5
71,399808.587,7072497.527,1007.965828,64.2,out,VLCL_BOTTOM,25.28,28.96681689,18765,3.02,1.86,41,0.86,0.89,0.73,420,3.78,13.86349522,0.21,8
72,399808.5837,7072497.528,1007.68585,64.2,out,VLCL_BOTTOM,25.28,28.96681689,18765,3.02,1.86,41,0.86,0.89,0.73,420,3.78,13.86349522,0.21,5
73,399807.6609,7072497.824,937.2676221,37.88,out,VLCL_BOTTOM,3.1,15.43,1515,5.43,5.82,14.3,0.15,2.68,1.28,1060,1.42,13.86349522,0.36,1
74,399807.6542,7072497.827,936.7926767,37.88,out,VLCL_BOTTOM,3.1,15.43,1515,5.43,5.82,14.3,0.15,2.68,1.28,1060,1.42,13.86349522,0.36,1
75,399807.6518,7072497.828,936.6176968,37.88,out,VLCL_BOTTOM,3.1,15.43,1515,5.43,5.82,14.3,0.15,2.68,1.28,1060,1.42,13.86349522,0.36,0.2
76,399421.0938,7072753.43,934.5292952,61.6,out,VLCL_TOP,13.96,28.96681689,10027,3.15,2.14,31.8,1.39,1.5,0.54,360,0.53,13.86349522,0.14,3
77,399421.1073,7072753.426,934.0294985,61.6,out,VLCL_TOP,13.96,28.96681689,10027,3.15,2.14,31.8,1.39,1.5,0.54,360,0.53,13.86349522,0.14,0.3
78,399421.6287,7072753.242,914.3322623,66.6,in,VLCL_TOP,60.68,28.96681689,60050,0.6,1.37,52.6,0.14,0.39,0.03,380,1.68,13.86349522,0.06,2
79,399422.1262,7072753.024,895.8352479,60.37,in,ANLT,3.7,11.92,2278,5.89,3.36,10.8,2.27,5.66,0.18,700,0.02,13.86349522,0.69,0.1
80,399422.1374,7072753.019,895.4454383,60.37,in,ANLT,3.7,11.92,2278,5.89,3.36,10.8,2.27,5.66,0.18,700,0.02,13.86349522,0.69,0.3
81,399422.1517,7072753.014,894.9506809,60.37,in,ANLT,3.7,11.92,2278,5.89,3.36,10.8,2.27,5.66,0.18,700,0.02,13.86349522,0.69,0.8
82,399422.1877,7072752.999,893.7162906,65,in,ANLT,29.45,28.96681689,20625,3.96,3.07,32.3,1.96,1.87,0.08,410,1.74,13.86349522,0.27,0.8
83,399422.1957,7072752.996,893.4414272,65,in,ANLT,29.45,28.96681689,20625,3.96,3.07,32.3,1.96,1.87,0.08,410,1.74,13.86349522,0.27,1
84,399422.2045,7072752.992,893.1415766,65,in,ANLT,29.45,28.96681689,20625,3.96,3.07,32.3,1.96,1.87,0.08,410,1.74,13.86349522,0.27,0
85,399422.2111,7072752.989,892.916689,65,in,ANLT,29.45,28.96681689,20625,3.96,3.07,32.3,1.96,1.87,0.08,410,1.74,13.86349522,0.27,3
86,399422.5994,7072752.826,879.3482257,61.2,in,VLCL_BOTTOM,15.43,28.96681689,10873,1.27,1.47,46.5,0.94,0.72,0.04,830,4.31,13.86349522,0.08,5
87,399422.6471,7072752.805,877.6740453,62.95,in,VLCL_BOTTOM,9.31,36.43,5631,2.9,2.55,36.9,1.2,1.28,0.04,1040,3.95,13.86349522,0.12,5
88,399422.6575,7072752.8,877.3142246,62.95,in,VLCL_BOTTOM,9.31,36.43,5631,2.9,2.55,36.9,1.2,1.28,0.04,1040,3.95,13.86349522,0.12,5
89,399422.6667,7072752.796,876.994385,62.95,in,VLCL_BOTTOM,9.31,36.43,5631,2.9,2.55,36.9,1.2,1.28,0.04,1040,3.95,13.86349522,0.12,2
90,399422.6707,7072752.794,876.8544555,62.95,in,VLCL_BOTTOM,9.31,36.43,5631,2.9,2.55,36.9,1.2,1.28,0.04,1040,3.95,13.86349522,0.12,5
91,399423.0384,7072752.618,864.5562195,63.96,out,VLCL_BOTTOM,18.83,51.45,12590,1.24,0.82,52.6,0.48,0.47,0.02,340,2.76,13.86349522,0.06,2
92,399423.0529,7072752.61,864.0764991,63.96,out,VLCL_BOTTOM,18.83,51.45,12590,1.24,0.82,52.6,0.48,0.47,0.02,340,2.76,13.86349522,0.06,7
93,399423.059,7072752.607,863.876616,63.96,out,VLCL_BOTTOM,18.83,51.45,12590,1.24,0.82,52.6,0.48,0.47,0.02,340,2.76,13.86349522,0.06,0.3
94,399423.9935,7072752.187,832.5634067,65.2,out,VLCL_BOTTOM,4.5,15.43,3046,6.02,3.4,14.9,1.71,3.07,0.96,1020,3.08,13.86349522,0.35,0.7
95,399424.0055,7072752.181,832.1486201,65.2,out,VLCL_BOTTOM,4.5,15.43,3046,6.02,3.4,14.9,1.71,3.07,0.96,1020,3.08,13.86349522,0.35,1
96,399424.0111,7072752.178,831.9587179,65.2,out,VLCL_BOTTOM,4.5,15.43,3046,6.02,3.4,14.9,1.71,3.07,0.96,1020,3.08,13.86349522,0.35,3
97,399425.724,7072751.273,776.4077093,66.9,out,VLCL_BOTTOM,13.34,28.96681689,9948,5.11,3.68,26.4,1.39,2.93,0.66,910,4.42,13.86349522,0.37,10
98,399428.4995,7072749.571,686.7720455,66.9,out,VLCL_BOTTOM,8.41,28.96681689,4838,2.77,7.45,31.4,0.29,0.87,0.14,690,5.12,13.86349522,0.18,5
99,399428.5125,7072749.562,686.352329,66.9,out,VLCL_BOTTOM,8.41,28.96681689,4838,2.77,7.45,31.4,0.29,0.87,0.14,690,5.12,13.86349522,0.18,3
100,399428.5219,7072749.556,686.0475367,66.9,out,VLCL_BOTTOM,8.41,28.96681689,4838,2.77,7.45,31.4,0.29,0.87,0.14,690,5.12,13.86349522,0.18,6
101,399958.7118,7072779.824,939.5550381,64.9,out,VLCL_BOTTOM,49.51,28.96681689,39695,1.14,0.69,51.6,0.46,0.61,0.04,370,5.57,13.86349522,0.1,1
102,399958.7111,7072779.822,939.0550406,64.9,out,VLCL_BOTTOM,49.51,28.96681689,39695,1.14,0.69,51.6,0.46,0.61,0.04,370,5.57,13.86349522,0.1,10
103,399869.7772,7072964.347,833.9259273,67.92,in,ANLT,22.23,24.25,13129,6.13,2.57,22.3,0.84,3.69,1.51,830,1.29,13.86349522,0.42,0.2
104,399869.6551,7072964.604,785.2968461,68,in,VLCL_BOTTOM,54.72,28.96681689,29775,4.98,2.7,33.7,1.28,2.68,0.46,800,0.53,13.86349522,0.37,1.5
105,399869.6545,7072964.606,785.0068524,68,in,VLCL_BOTTOM,54.72,28.96681689,29775,4.98,2.7,33.7,1.28,2.68,0.46,800,0.53,13.86349522,0.37,0.7
106,399869.6538,7072964.608,784.6368607,68,in,VLCL_BOTTOM,54.72,28.96681689,29775,4.98,2.7,33.7,1.28,2.68,0.46,800,0.53,13.86349522,0.37,5
107,399869.6255,7072964.674,772.9270886,67.2,in,VLCL_BOTTOM,37.16,28.96681689,49853,2.29,1.07,51.4,0.84,1,0.05,560,4.93,13.86349522,0.18,8
108,399709.7223,7072731.181,872.5356146,68.8,in,VLCL_BOTTOM,65.73,28.96681689,70933,1.78,2.42,50.2,0.03,1.3,0.04,340,1.73,13.86349522,0.1,7
109,399709.7313,7072731.205,871.5359463,69.2,in,VLCL_BOTTOM,52.79,28.96681689,60575,2.28,3.1,43.1,0.02,1.24,0.12,520,0.87,13.86349522,0.12,7
110,399709.9573,7072731.762,849.9092969,68.59,in,VLCL_BOTTOM,37.54,35.09,31763,3.14,4.42,33.8,0.2,2.24,0.74,880,1.24,13.86349522,0.16,0.5
111,399709.9631,7072731.774,849.4094935,68.59,in,VLCL_BOTTOM,37.54,35.09,31763,3.14,4.42,33.8,0.2,2.24,0.74,880,1.24,13.86349522,0.16,5
112,399709.9849,7072731.822,847.5452357,69.1,in,VLCL_BOTTOM,54.01,28.96681689,49443,2.18,2.89,46.4,0.39,1.41,0.21,550,1.02,13.86349522,0.11,5
113,399710.077,7072732.023,839.9184206,68.6,in,VLCL_BOTTOM,23.73,28.96681689,19725,3.18,3.99,32.4,0.31,2.22,0.11,700,1.56,13.86349522,0.17,2
114,399710.0832,7072732.036,839.4186367,68.6,in,VLCL_BOTTOM,23.73,28.96681689,19725,3.18,3.99,32.4,0.31,2.22,0.11,700,1.56,13.86349522,0.17,5
115,399960.67,7073004.62,971.81,23.54,out,ANDE_UPPER,13.9,10.64,6436,7.05,3.14,10.3,1,2.91,2.96,1760,0.8,13.86349522,1.24,0.1
116,399960.67,7073004.62,969.81,25.2,out,ANDE_UPPER,14.7,10.56,7135,7.06,2.56,10.4,0.79,2.73,3.18,1760,0.69,13.86349522,1.22,0.5
117,399960.67,7073004.62,933.81,63.24,in,VLCL_TOP,5.6,15.39,3650,7.12,2.77,14.1,1.5,3.31,0.52,1040,0.97,13.86349522,0.91,0.7
118,399960.67,7073004.62,847.81,68.69,in,ANLT,29.45,34.01,23395,3.88,2.92,33.8,1.15,1.89,0.52,740,5.89,13.86349522,0.28,0.7
