,mid_x,mid_y,mid_z,DTT_Mass_Recovery,MS_Actual,Al_pct,As_ppm,Au_ppm,Be_ppm,Ca_pct,Cr_ppm,Cu_pct,Fe_pct,K_pct,Mg_pct,Mn_ppm,Na_pct,P_ppm,Pb_ppm,S_pct,Si_pct,Sr_ppm,Ti_pct,V_ppm,W_ppm,Ac,Cb,Ch,Cp,Ep,FeOx_1_pct,He_s,Kspar,Lm,Mt,Py,ANDE_LOWER,ANDE_UPPER,ANLT,BX,VLCL_BOTTOM,VLCL_TOP,Fe1_M1_100,Fe1_M1_200,Fe1_M1_220,Fe1_M1_221,Fe1_M1_222,Fe1_M1_302,Fe1_M1_304,Fe1_M1_306,Fe1_M1_400,Fe1_M1_502,Fe1_M1_504,Fe1_M1_506,Fe1_M1_508,Fe1_M1_602,Fe1_M1_604,Fe1_M1_606,Fe1_M1_802,Fe1_M1_804,Fe1_M1_806,Fe1_M1_808,Fe1_M1_902,Fe1_M1_904,Fe1_M1_906,Fe1_M1_908,in,out
729,0.008379471,0.253764981,-1.248233558,-0.663316583,-0.512729955,1.438034776,0.241466498,-1.166250924,0.188396812,0.752747253,0.249061327,0.696560731,-1.334377612,-0.101265823,1.941176471,1.305936073,0,-0.219512195,0.332777314,-0.545636911,1.171459818,0.168035251,1.862068966,0,0.158980391,0.333333333,0,0.666666667,0,0.666666667,-0.545454545,-0.2,0,0,-0.348837209,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
730,0.007252017,0.253663898,-1.273776099,-0.651256281,-0.465529221,1.478603875,0.241466498,0,0.188396812,0.164835165,0.374217772,-0.208968219,-1.17717808,0.658227848,1.725490196,1.03196347,0,0.268292683,0.332777314,-0.750250752,1.298630831,0.168035251,1.655172414,0,0.158980391,0.333333333,0,0.666666667,0.033333333,0.333333333,-0.454545455,0.3,0.333333333,0,-0.348837209,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
731,0.006938411,0.253635424,-1.280881117,-0.651256281,-0.465529221,1.478603875,0.241466498,0,0.188396812,0.164835165,0.374217772,-0.208968219,-1.17717808,0.658227848,1.725490196,1.03196347,0,0.268292683,0.332777314,-0.750250752,1.298630831,0.168035251,1.655172414,0,0.158980391,0,0.333333333,0.666666667,0.013333333,0,0.090909091,0.1,0,0,0.465116279,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
732,0.00671107,0.253614068,-1.286032256,-0.089246231,0.096755257,0.533923432,0.241466498,-1.348069106,0.188396812,-0.472527473,0.249061327,-0.059981619,-0.527136768,-0.607594937,1.359477124,0.392694064,0,0.268292683,0.332777314,-0.67001003,0.967986198,0.168035251,0.931034483,0,0.158980391,0,0.333333333,0.666666667,0.013333333,0,0.090909091,0.1,0,0,0.465116279,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
733,0.006460139,0.253592713,-1.29171627,-0.089246231,0.096755257,0.533923432,0.241466498,-1.348069106,0.188396812,-0.472527473,0.249061327,-0.059981619,-0.527136768,-0.607594937,1.359477124,0.392694064,0,0.268292683,0.332777314,-0.67001003,0.967986198,0.168035251,0.931034483,0,0.158980391,0.333333333,0.666666667,0.333333333,0,0,0.727272727,-0.2,0,0,1.279069767,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
734,0.006358379,0.253582747,-1.294025402,-0.089246231,0.096755257,0.533923432,0.241466498,-1.348069106,0.188396812,-0.472527473,0.249061327,-0.059981619,-0.527136768,-0.607594937,1.359477124,0.392694064,0,0.268292683,0.332777314,-0.67001003,0.967986198,0.168035251,0.931034483,0,0.158980391,0,0,0.666666667,0,0.333333333,-0.545454545,-0.2,0.333333333,0,-0.348837209,0.0125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
735,0.006275121,0.253575628,-1.295908232,1.664321608,2.403342251,-1.198956645,0.241466498,0,0.188396812,-0.39010989,0.123904881,-0.338605911,1.367754897,-0.860759494,-0.202614379,-0.246575342,0,-0.707317073,0.332777314,-0.738214644,-1.290570984,0.168035251,-0.206896552,0,0.158980391,0,0,0.666666667,0,0.333333333,-0.545454545,-0.2,0.333333333,0,-0.348837209,0.0125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
736,0.006066744,0.25355712,-1.300633069,1.664321608,2.403342251,-1.198956645,0.241466498,0,0.188396812,-0.39010989,0.123904881,-0.338605911,1.367754897,-0.860759494,-0.202614379,-0.246575342,0,-0.707317073,0.332777314,-0.738214644,-1.290570984,0.168035251,-0.206896552,0,0.158980391,0.666666667,0.666666667,0.666666667,0,0,0.909090909,-0.2,0,0,1.511627907,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
737,0.005804712,0.253532917,-1.306565759,1.664321608,2.403342251,-1.198956645,0.241466498,0,0.188396812,-0.39010989,0.123904881,-0.338605911,1.367754897,-0.860759494,-0.202614379,-0.246575342,0,-0.707317073,0.332777314,-0.738214644,-1.290570984,0.168035251,-0.206896552,0,0.158980391,0.333333333,0,0.666666667,0.02,0.333333333,-0.509090909,0,0,0,-0.325581395,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
738,0.005699715,0.253522952,-1.30894594,1.664321608,2.403342251,-1.198956645,0.241466498,0,0.188396812,-0.39010989,0.123904881,-0.338605911,1.367754897,-0.860759494,-0.202614379,-0.246575342,0,-0.707317073,0.332777314,-0.738214644,-1.290570984,0.168035251,-0.206896552,0,0.158980391,0.333333333,0.333333333,0.666666667,0,0,-0.545454545,-0.2,0,0,-0.348837209,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
