,mid_x,mid_y,mid_z,DTT_Mass_Recovery,MS_Actual,Al_pct,As_ppm,Au_ppm,Be_ppm,Ca_pct,Cr_ppm,Cu_pct,Fe_pct,K_pct,Mg_pct,Mn_ppm,Na_pct,P_ppm,Pb_ppm,S_pct,Si_pct,Sr_ppm,Ti_pct,V_ppm,W_ppm,Ac,Cb,Ch,Cp,Ep,FeOx_1_pct,He_s,Kspar,Lm,Mt,Py,ANDE_LOWER,ANDE_UPPER,ANLT,BX,Fe1_M1_100,Fe1_M1_200,Fe1_M1_220,Fe1_M1_221,Fe1_M1_222,Fe1_M1_302,Fe1_M1_304,Fe1_M1_306,Fe1_M1_400,Fe1_M1_502,Fe1_M1_504,Fe1_M1_506,Fe1_M1_508,Fe1_M1_602,Fe1_M1_604,Fe1_M1_606,Fe1_M1_802,Fe1_M1_804,Fe1_M1_806,Fe1_M1_808,Fe1_M1_902,Fe1_M1_904,Fe1_M1_906,Fe1_M1_908,in,out
1153,0.874030006,0.172803298,0.51701186,-0.466331658,-0.338757963,1.58872,0.241466498,-1.029887288,0.188396812,0.483516484,0.123904881,0.001934891,-1.55105805,1.924050633,1.450980392,2.127853881,0,0.512195122,0.332777314,-0.565697091,1.820031982,0.168035251,2.137931034,0,0.158980391,0.333333333,0,0.666666667,0,0.333333333,-0.454545455,0,0.333333333,0,-0.23255814,0.075,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1154,0.875419492,0.173179156,0.511599742,-0.466331658,-0.338757963,1.58872,0.241466498,-1.029887288,0.188396812,0.483516484,0.123904881,0.001934891,-1.55105805,1.924050633,1.450980392,2.127853881,0,0.512195122,0.332777314,-0.565697091,1.820031982,0.168035251,2.137931034,0,0.158980391,0.333333333,0.333333333,0.333333333,0.033333333,0,0.090909091,-0.2,0.333333333,0,0.465116279,0.025,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1170,-0.697840486,-0.593327961,0.807887151,-0.092462312,-0.053137279,1.327918651,0.241466498,1.015567258,0.188396812,0.263736264,0.123904881,0.942291878,-0.973243551,2.556962025,0.947712418,2.401826484,0,0.512195122,0.332777314,0.280842528,0.624624464,0.168035251,1.896551724,0,0.158980391,0.333333333,0.333333333,0.333333333,0.033333333,0.333333333,-0.454545455,0.3,0.333333333,0,-0.23255814,0.025,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1171,-0.698465385,-0.593503077,0.801038239,-0.092462312,-0.053137279,1.327918651,0.241466498,1.015567258,0.188396812,0.263736264,0.123904881,0.942291878,-0.973243551,2.556962025,0.947712418,2.401826484,0,0.512195122,0.332777314,0.280842528,0.624624464,0.168035251,1.896551724,0,0.158980391,0.333333333,0.333333333,0.333333333,0.066666667,0,-0.327272727,0.3,0.333333333,0,-0.069767442,0.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1207,-0.046850983,-0.400729505,0.855863632,-0.389949749,-0.368919774,0.962796762,0.241466498,-0.484432742,0.188396812,-0.175824176,0.123904881,0.046437382,-1.053967635,0.405063291,1.241830065,0.118721461,0,2.951219512,0.332777314,-0.625877633,1.641992564,0.168035251,3.620689655,0,0.158980391,0.666666667,0.666666667,0.333333333,0.02,0,-0.4,0,0.666666667,0,-0.162790698,0.005,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1232,-0.210180125,-0.439310416,0.778071624,-0.667336683,-0.505031535,2.075549186,0.165613148,1.061021803,0.039647577,-0.428571429,0.113892365,1.112562279,-1.398107153,2.708860759,1.993464052,1.771689498,-0.270857143,0.658536585,0.015846539,0.990972919,1.387650539,0.302919708,1.827586207,1.489748369,0.140401146,0,0,0.666666667,0.033333333,0.333333333,-0.454545455,0.3,0.333333333,0,-0.325581395,0.0125,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1239,-0.139323734,-0.51034035,0.978911833,-0.132663317,-0.540398442,2.411693147,0.001264223,-0.825341833,0.083700441,1.637362637,0.13767209,0.001934891,-1.737998035,-0.037974684,0.54248366,0.02283105,3.805714286,0.609756098,0.039199333,-0.565697091,1.616558362,0.452554745,2.344827586,2.785202915,0.140401146,0.666666667,0.333333333,1,0,0,-0.536363636,-0.15,0.333333333,0,-0.348837209,0.0075,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1240,-0.139274936,-0.510353164,0.975616489,-0.132663317,-0.540398442,2.411693147,0.001264223,-0.825341833,0.083700441,1.637362637,0.13767209,0.001934891,-1.737998035,-0.037974684,0.54248366,0.02283105,3.805714286,0.609756098,0.039199333,-0.565697091,1.616558362,0.452554745,2.344827586,2.785202915,0.140401146,0.666666667,0,1,0,0.333333333,-0.454545455,0.1,0.666666667,0,-0.302325581,0.075,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1241,-0.13921573,-0.510368824,0.971604794,-0.132663317,-0.540398442,2.411693147,0.001264223,-0.825341833,0.083700441,1.637362637,0.13767209,0.001934891,-1.737998035,-0.037974684,0.54248366,0.02283105,3.805714286,0.609756098,0.039199333,-0.565697091,1.616558362,0.452554745,2.344827586,2.785202915,0.140401146,1,0.333333333,1,0.006666667,0.333333333,-0.490909091,0.1,0.666666667,0,-0.348837209,0.0075,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1242,-0.139158606,-0.510384485,0.967736395,-0.132663317,-0.540398442,2.411693147,0.001264223,-0.825341833,0.083700441,1.637362637,0.13767209,0.001934891,-1.737998035,-0.037974684,0.54248366,0.02283105,3.805714286,0.609756098,0.039199333,-0.565697091,1.616558362,0.452554745,2.344827586,2.785202915,0.140401146,0.666666667,0.333333333,1,0.006666667,0.333333333,-0.490909091,0.1,0.666666667,0,-0.348837209,0.0075,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
